City,Insurer,Q1,Q2,Q5a,Q8_1
MUMBAI,ACKO,8,,,10.0
MUMBAI,New India,9,9.0,,
AHMEDABAD,Tata AIG,9,,,9.0
PUNE,HDFC Ergo,4,,,3.0
HYDERABAD,ACKO,9,,9.0,9.0
LUDHIANA,National Insurance,7,,,9.0
KANPUR,National Insurance,10,,,10.0
DELHI,HDFC Ergo,1,,,1.0
AHMEDABAD,HDFC Ergo,6,5.0,,
LUDHIANA,Tata AIG,9,,9.0,9.0
CHENNAI,National Insurance,9,,9.0,9.0
LUDHIANA,New India,10,,,8.0
HYDERABAD,Bagic,10,,,9.0
LUDHIANA,ACKO,10,,9.0,10.0
BANGALORE,ICICI Lombard,8,,10.0,8.0
PUNE,Go Digit,10,9.0,,
LUDHIANA,National Insurance,10,10.0,,
LUDHIANA,HDFC Ergo,10,,9.0,9.0
KANPUR,New India,9,10.0,9.0,
CHENNAI,Bagic,9,10.0,,
LUDHIANA,Go Digit,7,,7.0,8.0
DELHI,New India,10,,,9.0
INDORE,ACKO,7,,,6.0
JAIPUR,New India,6,,,4.0
JAIPUR,Bagic,9,,,7.0
KOLKATA,Go Digit,10,,,10.0
JAIPUR,Bagic,9,,,9.0
LUDHIANA,Go Digit,9,10.0,9.0,
LUDHIANA,National Insurance,9,,9.0,8.0
DELHI,New India,9,10.0,,
LUDHIANA,ICICI Lombard,6,,5.0,4.0
HYDERABAD,National Insurance,9,,,7.0
AHMEDABAD,Go Digit,9,9.0,,
JAIPUR,Go Digit,9,,,10.0
BANGALORE,Go Digit,4,7.0,,
AHMEDABAD,Go Digit,9,,9.0,10.0
CHENNAI,HDFC Ergo,5,,3.0,4.0
INDORE,ICICI Lombard,9,,,9.0
JAIPUR,ACKO,9,,,10.0
CHENNAI,HDFC Ergo,9,,,10.0
CHENNAI,ICICI Lombard,9,,,10.0
PUNE,ACKO,7,7.0,8.0,
PUNE,National Insurance,4,6.0,,
KANPUR,HDFC Ergo,10,,,9.0
CHENNAI,Go Digit,10,,8.0,9.0
KANPUR,HDFC Ergo,10,,9.0,10.0
HYDERABAD,Bagic,9,,,9.0
DELHI,Bagic,10,,9.0,9.0
MUMBAI,Bagic,10,,,9.0
PUNE,Bagic,9,,10.0,10.0
CHENNAI,ACKO,10,,,10.0
PUNE,Go Digit,9,,,9.0
KANPUR,Go Digit,10,,,10.0
JAIPUR,Tata AIG,8,,,10.0
CHENNAI,Bagic,9,,,9.0
JAIPUR,Go Digit,10,10.0,,
PUNE,Tata AIG,7,,,7.0
DELHI,Go Digit,10,,,9.0
JAIPUR,HDFC Ergo,7,,,8.0
HYDERABAD,New India,10,9.0,,
INDORE,Bagic,10,9.0,10.0,
MUMBAI,HDFC Ergo,10,,,9.0
KOLKATA,New India,8,9.0,,
KOLKATA,Go Digit,10,9.0,,
CHENNAI,New India,10,9.0,10.0,
BANGALORE,Go Digit,9,,10.0,9.0
HYDERABAD,Tata AIG,10,10.0,9.0,
HYDERABAD,Go Digit,9,,,10.0
PUNE,Bagic,10,,10.0,9.0
DELHI,HDFC Ergo,9,9.0,,
KOLKATA,Bagic,10,10.0,10.0,
AHMEDABAD,New India,8,,9.0,9.0
MUMBAI,HDFC Ergo,1,,,4.0
CHENNAI,New India,7,,5.0,6.0
PUNE,HDFC Ergo,10,,,8.0
PUNE,Go Digit,9,,,9.0
HYDERABAD,Tata AIG,9,10.0,,
CHENNAI,National Insurance,9,,,7.0
INDORE,ICICI Lombard,8,,,9.0
LUDHIANA,HDFC Ergo,9,9.0,,
HYDERABAD,ACKO,8,,,8.0
LUDHIANA,HDFC Ergo,9,10.0,9.0,
CHENNAI,ICICI Lombard,9,,,10.0
CHENNAI,New India,9,10.0,,
BANGALORE,ACKO,9,,,7.0
CHENNAI,ICICI Lombard,8,8.0,9.0,
LUDHIANA,National Insurance,9,,,8.0
KANPUR,HDFC Ergo,9,10.0,,
MUMBAI,Tata AIG,9,,,9.0
LUDHIANA,HDFC Ergo,7,,,10.0
KANPUR,Bagic,9,,,7.0
CHENNAI,HDFC Ergo,9,,,10.0
INDORE,HDFC Ergo,9,,9.0,10.0
JAIPUR,National Insurance,10,9.0,,
DELHI,ACKO,9,10.0,10.0,
INDORE,Tata AIG,4,,5.0,5.0
MUMBAI,Go Digit,8,,,6.0
HYDERABAD,Go Digit,9,,,10.0
HYDERABAD,Bagic,8,,,10.0
DELHI,Tata AIG,1,,,4.0
INDORE,National Insurance,7,,,6.0
LUDHIANA,ICICI Lombard,10,,,8.0
DELHI,Bagic,9,,,9.0
LUDHIANA,Tata AIG,9,9.0,,
PUNE,ACKO,8,,,8.0
INDORE,New India,9,10.0,,
KANPUR,ACKO,8,,,10.0
LUDHIANA,HDFC Ergo,10,10.0,,
KOLKATA,Go Digit,9,,10.0,10.0
BANGALORE,Go Digit,9,,10.0,7.0
LUDHIANA,Bagic,10,,9.0,9.0
BANGALORE,ICICI Lombard,10,,10.0,9.0
BANGALORE,Go Digit,8,10.0,,
CHENNAI,HDFC Ergo,10,,,10.0
JAIPUR,ICICI Lombard,9,,,9.0
LUDHIANA,Tata AIG,8,,,7.0
CHENNAI,ACKO,6,,,5.0
INDORE,ACKO,7,,,9.0
LUDHIANA,Go Digit,8,,,9.0
AHMEDABAD,Bagic,10,8.0,,
INDORE,Tata AIG,8,,9.0,7.0
HYDERABAD,National Insurance,6,,,7.0
DELHI,National Insurance,9,,9.0,8.0
LUDHIANA,Tata AIG,9,,8.0,10.0
PUNE,New India,10,9.0,10.0,
AHMEDABAD,Bagic,9,,,9.0
KOLKATA,ACKO,10,,,9.0
MUMBAI,Tata AIG,10,,,7.0
KOLKATA,Go Digit,9,10.0,10.0,
KOLKATA,ICICI Lombard,10,,,10.0
JAIPUR,ACKO,9,,,7.0
PUNE,National Insurance,9,,10.0,9.0
